Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
,,,,,,,,,,,0.330,0.70,0.00,0.00,0.330,0.70,0.01,-0.60,0.330,0.70,0.00,0.00,0.330,0.71,0.00,-0.52,0.165,0.71,0.04,-1.01,0.330,0.71,0.00,0.00,0.330,0.71,-0.01,-1.29,0.330,0.71,0.00,0.00,0.330,0.70,-0.01,1.29,0.330,0.66,-0.11,0.88
,,,,,,,,,,,0.340,0.70,0.00,0.00,0.340,0.70,-0.03,-2.68,0.340,0.70,0.00,0.00,0.340,0.71,0.00,0.00,0.170,0.71,-0.04,-6.97,0.340,0.71,0.00,1.24,0.340,0.71,-0.02,-1.73,0.340,0.71,0.00,0.00,0.340,0.70,0.01,1.55,0.340,0.66,0.02,5.34
,,,,,,,,,,,0.350,0.70,0.00,0.00,0.350,0.70,-0.05,0.43,0.350,0.70,0.00,0.00,0.350,0.71,0.00,0.00,0.175,0.71,-0.03,6.57,0.350,0.71,0.02,-3.72,0.350,0.71,-0.04,0.42,0.350,0.71,0.00,0.00,0.350,0.70,0.02,0.35,0.350,0.66,-0.01,-7.86
,,,,,,,,,,,0.360,0.70,0.00,0.00,0.360,0.70,-0.02,0.52,0.360,0.70,0.00,0.53,0.360,0.71,0.00,0.00,0.180,0.71,0.02,3.84,0.360,0.71,-0.07,-14.84,0.360,0.71,-0.02,3.36,0.360,0.71,0.00,0.00,0.360,0.71,0.01,-1.72,0.360,0.66,-0.14,-0.22
,,,,,,,,,,,0.370,0.70,0.00,0.00,0.370,0.70,-0.04,-0.26,0.370,0.70,0.01,-2.32,0.370,0.71,0.00,0.00,0.185,0.71,0.01,-4.15,0.370,0.71,-0.27,-27.41,0.370,0.71,0.03,1.82,0.370,0.71,0.00,0.00,0.370,0.70,-0.02,-1.90,0.370,0.66,-0.01,7.45
,,,,,,,,,,,0.380,0.70,0.00,0.00,0.380,0.70,-0.03,1.38,0.380,0.70,-0.05,-4.93,0.380,0.71,0.00,0.00,0.190,0.71,-0.02,-3.13,0.380,0.70,-0.62,-39.09,0.380,0.71,0.02,-2.09,0.380,0.71,0.00,0.00,0.380,0.70,-0.02,-0.95,0.380,0.66,0.01,0.13
,,,,,,,,,,,0.390,0.70,0.00,0.00,0.390,0.70,-0.01,1.04,0.390,0.70,-0.09,0.76,0.390,0.71,0.00,0.00,0.195,0.71,-0.02,2.43,0.390,0.69,-1.05,-24.48,0.390,0.71,-0.01,2.40,0.390,0.71,0.00,0.00,0.390,0.70,-0.03,-0.87,0.390,0.66,-0.01,7.31
,,,,,,,,,,,0.400,0.70,0.00,0.00,0.400,0.70,-0.01,-0.18,0.400,0.70,-0.03,4.40,0.400,0.71,0.00,0.00,0.200,0.71,0.01,4.85E-4,0.400,0.68,-1.11,-15.22,0.400,0.71,0.07,4.94,0.400,0.71,0.00,0.00,0.400,0.70,-0.04,1.46,0.400,0.66,0.15,10.04
,,,,,,,,,,,0.410,0.70,0.00,0.00,0.410,0.70,-0.01,0.95,0.410,0.70,0.00,1.20,0.410,0.71,0.00,0.00,0.205,0.71,-0.02,-1.41,0.410,0.67,-1.36,-3.45,0.410,0.71,0.08,-3.52,0.410,0.71,0.00,0.00,0.410,0.70,-0.01,3.63,0.410,0.66,0.19,-5.63
,,,,,,,,,,,0.420,0.70,0.00,0.00,0.420,0.70,0.01,0.69,0.420,0.70,-0.01,1.54,0.420,0.71,0.00,0.00,0.210,0.71,-0.01,5.56,0.420,0.66,-1.18,8.41,0.420,0.71,0.00,-6.92,0.420,0.71,0.00,0.00,0.420,0.70,0.03,-0.09,0.420,0.66,0.04,-14.65
,,,,,,,,,,,0.430,0.70,0.00,0.00,0.430,0.70,0.00,-1.04,0.430,0.70,0.03,3.37,0.430,0.71,0.00,0.00,0.215,0.71,0.03,-1.72,0.430,0.65,-1.19,12.99,0.430,0.71,-0.05,0.15,0.430,0.71,0.00,0.09,0.430,0.70,-0.01,-0.01,0.430,0.67,-0.10,-8.78
,,,,,,,,,,,0.440,0.70,0.00,0.00,0.440,0.70,-0.01,-0.09,0.440,0.70,0.06,-1.11,0.440,0.71,0.00,0.00,0.220,0.71,-0.02,-3.84,0.440,0.63,-0.92,38.88,0.440,0.71,0.00,5.45,0.440,0.71,0.00,-0.43,0.440,0.70,0.03,3.37,0.440,0.66,-0.14,4.18
