Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3
Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V),Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V),Time (s),Current (A),Voltage (V),Electron Current (x10^-10 A),Peak Voltage (V),Diff between Peaks (V),Trough Voltage (V),Diff between Troughs (V)
4.67E-12,-4.67E-12,67,0.05,,,,,1.38E-12,-1.38E-12,30.1,0.01,,,,,36.1,-1.55E-11,18,0.16,,,,
4.84E-12,-4.84E-12,68.3,0.05,,,,,1.40E-12,-1.40E-12,30.2,0.01,,,,,36.4,-1.58E-11,18.2,0.16,,,,
4.83E-12,-4.83E-12,68.7,0.05,,,,,1.45E-12,-1.45E-12,30.6,0.01,,,,,36.6,-1.60E-11,18.4,0.16,,,,
4.77E-12,-4.77E-12,69,0.05,,,,,1.47E-12,-1.47E-12,30.8,0.01,,,,,36.8,-1.63E-11,18.5,0.16,,,,
4.51E-12,-4.51E-12,69.9,0.05,,,,,1.50E-12,-1.50E-12,31,0.02,,,,,37,-1.66E-11,18.6,0.17,,,,
4.31E-12,-4.31E-12,70.3,0.04,,,,,1.55E-12,-1.55E-12,31,0.02,,,,,37.3,-1.70E-11,18.8,0.17,,,,
3.89E-12,-3.89E-12,70.6,0.04,,,,,1.61E-12,-1.61E-12,31.2,0.02,,,,,37.5,-1.73E-11,19,0.17,,,,
3.89E-12,-3.89E-12,70.6,0.04,,,,,1.66E-12,-1.66E-12,31.7,0.02,,,,,37.8,-1.77E-11,19.1,0.18,,,,
3.53E-12,-3.53E-12,71.2,0.04,,,,,1.66E-12,-1.66E-12,31.7,0.02,,,,,38,-1.80E-11,19.3,0.18,,,,
3.53E-12,-3.53E-12,71.2,0.04,,,,,1.73E-12,-1.73E-12,31.9,0.02,,,,,38.3,-1.84E-11,19.5,0.18,,,,
